Comment,Designator,Footprint,LCSC
1k,"R10,R5",R_0402_1005Metric,C11702
15pF,"C15,C18",C_0402_1005Metric,C1548
4.7uF,"C16,C17",C_0603_1608Metric_small,C19666
KT-0805Y,D2,LED_0805_2012Metric,C2296
KT-0805G,D5,LED_0805_2012Metric,C2297
470,"R13,R14,R15",R_0603_1608Metric,C23179
27,"R8,R9",R_0402_1005Metric,C25100
10k,"R2,R4,R6,R7",R_0402_1005Metric,C25744
3.3k,R1,R_0402_1005Metric,C25890
4.7k,R3,R_0402_1005Metric,C25900
5.1k,"R11,R12",R_0402_1005Metric,C25905
100nF,"C1,C2,C23,C25,C26,C3,C4,C8,C9",C_0402_1005Metric,C307331
100nF,"C10,C11,C12,C13,C14,C19,C20,C21,C22,C5,C6,C7",C_0201_0603Metric,C307380
MCP4922-ESL,U1,SOIC-14_3.9x8.7mm_P1.27mm,C39851
3.3uH,L1,L_pol_2016,C520252
TXB0108PW,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C53406
USB_C,J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C5362630
AMS1117-3.3,U8,SOT-223-3_TabPin2,C6186
10uF,"C24,C27",CP_EIA-3216-18_Kemet-A,C7171
NCD0805R1,D4,LED_0805_2012Metric,C84256
B5819W SL,"D1,D3",D_SOD-123,C8598
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
MC74LCX32DTR2G,U7,TSSOP-14_4.4x5mm_P0.65mm,C904104
W25Q128JVS,"U3,U4",SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2350_80QFN,U6,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C9900138392
+1V1,TP3,TestPoint_Pad_D2.5mm,
Audio,TP1,TestPoint_Pad_D2.5mm,
~,U5,MSX_Cartridge,
DEBUG,J1,PinHeader_1x03_P1.27mm_Vertical,
VrefB,TP2,TestPoint_Pad_D2.5mm,
BOOT,SW1,SW_PUSH_6mm_H7.3mm,
